company_id,company_name,sector,period_end,period_type,currency,revenue,cogs,gross_profit,sga,ebitda,ebitda_margin,capex,cash,ar,inventory,ap,net_debt,free_cash_flow,anomaly_flag_design
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-01-31,month,GBP,1678212.48,389693.95,1288518.53,1015027.24,273491.3,0.163,62484.69,8049989.16,264356.24,154737.78,50762.46,11970006.5,199956.66,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-02-28,month,GBP,1737970.24,374974.32,1362995.92,1047810.61,315185.31,0.1814,56326.39,8111805.47,291478.7,139227.45,44249.76,11932916.72,247265.22,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-03-31,month,GBP,1773819.46,408636.76,1365182.7,1053471.19,311711.5,0.1757,70829.26,8169198.81,278984.52,146791.33,48813.16,11898480.71,229573.36,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-04-30,month,GBP,1833312.02,401203.27,1432108.75,1085600.46,346508.29,0.189,56415.29,8238574.72,300678.07,170341.06,51373.11,11856855.17,277503.63,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-05-31,month,GBP,1906443.81,411541.17,1494902.64,1098923.56,395979.09,0.2077,58516.04,8319822.0,288285.14,174953.49,47441.04,11808106.8,324989.12,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-06-30,month,GBP,1979070.51,432499.87,1546570.64,1167403.54,379167.09,0.1916,73723.39,8392994.35,322038.28,161366.68,58262.74,11764203.39,292689.43,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-07-31,month,GBP,2057500.85,433847.16,1623653.7,1189992.58,433661.11,0.2108,60608.85,8483090.82,304400.92,172170.07,54357.94,11710145.51,360385.88,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-08-31,month,GBP,2127462.45,449425.68,1678036.77,1274092.01,403944.76,0.1899,77785.82,8561028.74,346428.53,186837.98,53023.79,11663382.76,311751.66,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-09-30,month,GBP,2156017.6,467716.11,1688301.49,1254103.27,434198.22,0.2014,72839.77,8647834.78,330981.72,199952.76,59791.41,11611299.13,347224.16,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-10-31,month,GBP,2211675.15,482802.9,1728872.25,1265379.88,463492.37,0.2096,75759.66,8741112.99,348268.02,195267.76,56206.24,11555332.21,373112.83,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-11-30,month,GBP,2275733.75,482914.4,1792819.35,1288829.13,503990.22,0.2215,89203.35,8841023.08,356780.39,199803.66,51701.4,11495386.15,399640.4,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2026-12-31,month,GBP,2277520.75,491003.82,1786516.93,1281277.79,505239.14,0.2218,85215.55,8942197.41,365325.73,208399.61,62848.41,11434681.56,404697.29,False
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-01-31,month,GBP,2289537.97,548565.65,1740972.33,1479249.87,261722.46,0.1143,86814.46,8981843.49,402897.88,204740.32,63516.66,11410893.9,158584.35,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-02-28,month,GBP,2271399.9,492266.14,1779133.76,1466454.17,312679.59,0.1377,71009.79,9038410.43,365894.05,205815.19,58307.5,11376953.74,226267.75,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-03-31,month,GBP,2309182.08,525247.63,1783934.45,1502061.44,281873.0,0.1221,77923.18,9085614.07,370672.52,203146.61,69309.66,11348631.56,188814.54,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-04-30,month,GBP,2309092.6,499197.96,1809894.64,1513168.73,296725.91,0.1285,83039.82,9135293.99,361273.43,202373.13,64766.92,11318823.61,198719.7,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-05-31,month,GBP,2315164.85,485483.53,1829681.32,1514311.77,315369.55,0.1362,77774.75,9190856.35,390974.74,173919.87,53382.25,11285486.19,222249.43,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-06-30,month,GBP,2329471.89,505818.23,1823653.66,1548127.4,275526.25,0.1183,79253.07,9236136.81,345781.44,221315.3,62052.8,11258317.91,181121.86,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-07-31,month,GBP,2316861.2,508511.74,1808349.46,1562885.02,245464.44,0.1059,81950.92,9273332.56,348399.29,202497.68,59879.13,11236000.46,148782.99,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-08-31,month,GBP,2338727.16,501698.54,1837028.62,1525782.21,311246.41,0.1331,77202.88,9327717.56,393480.79,220973.49,64336.34,11203369.47,217539.99,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-09-30,month,GBP,2318004.92,523519.53,1794485.39,1548753.13,245732.26,0.106,74392.06,9366620.33,376926.69,207803.64,60427.11,11180027.8,155611.11,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-10-31,month,GBP,2366380.17,520865.79,1845514.38,1551978.55,293535.82,0.124,81644.41,9415740.03,383328.67,190171.82,59746.09,11150555.98,196478.78,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-11-30,month,GBP,2349663.55,547157.71,1802505.84,1569399.27,233106.57,0.0992,92498.36,9447009.64,398621.4,186016.34,66978.84,11131794.22,125078.44,True
portco_a_saas,Company A — B2B SaaS,B2B SaaS,2027-12-31,month,GBP,2379914.54,531921.03,1847993.5,1586492.51,261500.99,0.1099,75161.13,9489841.22,359898.52,202028.11,61475.17,11106095.27,171326.31,True
