company_id,company_name,sector,period_end,period_type,currency,revenue,cogs,gross_profit,sga,ebitda,ebitda_margin,capex,cash,ar,inventory,ap,net_debt,free_cash_flow,anomaly_flag_design
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-01-31,month,GBP,3822214.85,2396582.41,1425632.45,946549.82,479082.63,0.1253,121390.88,5584396.49,593401.15,363749.92,286958.13,27949362.11,337585.96,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-02-28,month,GBP,3917483.04,2552841.13,1364641.91,996195.04,368446.87,0.0941,159265.07,5631967.45,581410.92,345616.77,297095.31,27920819.53,190283.83,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-03-31,month,GBP,3953955.04,2506906.24,1447048.8,912935.7,534113.1,0.1351,127842.71,5727904.01,656578.8,389216.83,294990.43,27863257.6,383746.23,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-04-30,month,GBP,4019602.17,2606052.88,1413549.28,967954.47,445594.82,0.1109,169514.74,5791329.38,665208.64,362182.76,281438.82,27825202.37,253701.5,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-05-31,month,GBP,4062108.48,2649037.08,1413071.4,961003.55,452067.85,0.1113,165442.2,5857409.13,699040.7,371711.71,327197.73,27785554.52,264319.01,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-06-30,month,GBP,4089886.55,2609836.52,1480050.03,938453.48,541596.55,0.1324,143887.68,5952174.41,566682.68,376256.4,321346.89,27728695.35,379061.1,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-07-31,month,GBP,4113240.73,2620506.58,1492734.15,951484.65,541249.5,0.1316,116939.47,6052616.57,689545.9,357380.85,295547.22,27668430.06,401768.64,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-08-31,month,GBP,4172122.92,2691580.68,1480542.23,907099.0,573443.23,0.1374,132210.43,6157880.73,642145.87,342459.54,312066.76,27605271.56,421056.64,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-09-30,month,GBP,4176614.72,2709581.08,1467033.64,950205.58,516828.07,0.1237,145912.43,6244870.17,681406.33,419651.16,335794.67,27553077.9,347957.75,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-10-31,month,GBP,4230173.75,2736883.74,1493290.02,942752.62,550537.4,0.1301,153954.53,6338262.27,712172.24,376722.95,321746.25,27497042.64,373568.4,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-11-30,month,GBP,4192561.56,2669527.67,1523033.89,842221.48,680812.41,0.1624,139798.4,6467918.64,686351.28,377838.65,317906.21,27419248.82,518625.49,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2026-12-31,month,GBP,4264101.87,2777470.42,1486631.46,900742.54,585888.92,0.1374,165157.49,6567738.56,721102.45,342543.25,348587.65,27359356.86,399279.69,False
portco_b_industrial,Company B — Industrial Manufacturing,Industrial Manufacturing,2027-01-31,month,GBP,4293518.59,2775735.45,1517783.14,1173121.11,344662.04,0.0803,147478.8,6610914.45,734087.27,397595.15,315693.31,27333451.33,172703.56,True
